Gene	Fold Change
Mpp6	2.906700562493413
Dfna5	5.074517880546715
Osbpl3	5.021291580566871
Cycs	7.15979381443299
5430402O13Rik	3.621349963316214
4921507P07Rik	3.699753039513679
Npvf	5.849999999999999
C530044C16Rik	1.9145495479703247
Mir148a	-1.0
Gm6559	3.5084745762711864
Nfe2l3	3.6245378729258015
Hnrnpa2b1	7.372623574144485
Cbx3	4.786088852861212
Snx10	6.015326845373612
Skap2	3.1162206175934544
Halr1	36.9
Hotairm1	1.0
Hoxa2	8.333333333333334
Hoxaas2	0.666666666666667
Hoxa3	2.132570162481536
Hoxa4	10.833333333333334
Hoxaas3	1.2535714285714283
Hoxa5	4.866666666666667
Hoxa6	8.000000000000009
Hoxa7	0.8749999999999999
Hoxa9	3.522727272727274
Mir196b	-1.0
Hoxa10	-0.1333333333333334
Hoxa11	0.0
Hoxa11os	4.666666666666667
Hoxa13	1.0
Hottip	1.5217391304347825
Evx1os	1.3414634146341464
Evx1	0.09523809523809529
1700094M24Rik	5.802469135802467
Hibadh	2.7730317585574205
Tax1bp1	2.2171799266843557
Jazf1	3.418006317287687
Gm4872	7.366666666666668
9430076C15Rik	5.316951628146747
Creb5	6.4856407112201095
Tril	1.1250000000000002
Cpvl	4.275542434267824
4921529L05Rik	5.434454168585907
Chn2	3.8872083530271144
9130019P16Rik	4.5229711809542055
Prr15	12.999999999999998
Wipf3	8.373966942148762
Scrn1	8.608055684454754
Fkbp14	3.027524714091877
Plekha8	4.680153877859449
Mturn	11.827449257534488
Znrf2	5.065112598196103
Nod1	6.219483464381424
Ggct	3.818476499189627
Gars	3.455340264650283
Crhr2	4.352788023432415
Inmt	2.925925925925926
Fam188b	2.850032425893283
Aqp1	5.26086956521739
Ghrhr	5.888888888888889
6430584L05Rik	40.26666666666667
Adcyap1r1	2.3007869985283773
Neurod6	2.0333333333333328
Gm3279	9.295358649789026
Ccdc129	4.6492579303319275
Ppp1r17	19.066666666666663
Pde1c	2.3302434453628176
Lsm5	3.956140350877194
Avl9	3.0416813671198124
Kbtbd2	8.532550450347735
Fkbp9	5.0778750759263
Nt5c3	3.749150036954915
Vmn1r4	-0.20000000000000004
Vmn1r5	-0.24999999999999997
Vmn1r7	0.07142857142857148
Vmn1r8	5.7499999999999964
Vmn1r11	1.2499999999999987
Vmn1r13	1.5000000000000002
Vmn1r14	1.4166666666666665
Vmn1r15	2.0
Ppm1k	2.830265884921567
Herc6	2.9216367020094056
Pyurf	1.505084745762712
Lancl2	2.7391304347826075
Vopp1	6.068942276283539
Vmn1r27	-0.3333333333333334
Vmn1r29	0.0
Vmn1r30	3.0
Abcg2	5.042874909457023
Herc3	1.8862208174484885
Nap1l5	-0.23076923076923078
Fam13a	5.2394953254839685
Tigd2	0.8951612903225803
Gprin3	10.353540587219344
