X	5901920	5904201	Act5C	0	59767	2281	2281	1.0000000
3R	7086638	7089435	alphaTub84B	0	40212	2208	2797	0.7894172
4	65921	67283	RpS3A	0	39700	1362	1362	1.0000000
2L	7825626	7832032	Rack1	0	39685	6406	6406	1.0000000
3L	11827312	11834039	CycA	0	38812	6259	6727	0.9304296
3R	29219154	29227022	CR31044	0	37520	7868	7868	1.0000000
3L	13041700	13046501	RpS4	0	36279	4427	4801	0.9220996
3R	30205897	30209220	RpS7	0	32294	3323	3323	1.0000000
2L	10197498	10204374	Sur	0	31984	6876	6876	1.0000000
2R	22932755	22937487	CG3788	0	31813	4732	4732	1.0000000
